club,gf
Manchester United,86
Chelsea,75
Arsenal,72
Liverpool,71
Manchester City,66
Tottenham Hotspur,66
Everton,55
West Bromwich Albion,53
Fulham,50
Southampton,49
Swansea City,47
Aston Villa,47
Wigan Athletic,47
West Ham United,45
Newcastle United,45
Reading,43
Norwich City,41
Sunderland,41
Stoke City,34
Queens Park Rangers,30
